ORGANIZATION_ID,REPORT_ID,ALLOCATION_ID,DETAIL_SEQ_NO,ACTUAL_SEQ_NO,AMOUNT_VOLUME,UNIT_VOLUME,VALUE_TYPE_VOLUME,METHOD_ID_VOLUME,AMOUNT_RATE,UNIT_RATE,VALUE_TYPE_RATE,METHOD_ID_RATE,START_DATE,END_DATE
AKDNR,2017,A2014-102,401,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2014-102,401,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2014-143,405,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2014-143,403,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2014-143,404,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2014-143,405,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2014-143,403,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2014-143,404,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2014-143,405,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2014-143,403,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2014-143,404,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2014-143,405,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2014-143,403,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2014-143,404,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2014-143,405,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2014-143,403,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2014-143,404,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2014-143,405,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2014-143,403,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2014-143,404,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2014-143,405,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2014-143,403,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2014-143,404,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2014-143,405,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2014-143,403,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2014-143,404,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2014-143,405,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2016,A2014-143,403,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2016,A2014-143,404,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2017,A2014-143,405,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2014-143,403,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2014-143,404,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2014-143,405,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2014-143,403,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2014-143,404,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2014-143,405,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2014-143,403,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2014-143,404,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2014-143,405,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2014-143,403,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2014-143,404,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2014-143,405,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2014-143,403,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2014-143,404,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2014-143,405,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2014-143,403,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2014-143,404,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2014-143,405,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2014-143,403,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2014-143,404,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2014-143,405,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2014-143,403,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2014-143,404,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2014-143,405,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2014-143,403,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2014-143,404,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2014-143,405,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2017,A2014-143,403,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2017,A2014-143,404,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2017,A2014-143,405,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2017,A2014-143,403,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2017,A2014-143,405,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2017,A2014-143,403,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2017,A2014-143,404,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2018,A2014-143,404,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2017,A2015-116,2304,4,0,1,1,1,,,,,04/01,04/30
AKDNR,2017,A2015-116,2304,5,0,1,1,1,,,,,05/01,05/31
AKDNR,2017,A2015-116,2304,6,0,1,1,1,,,,,06/01,06/30
AKDNR,2016,A2016-53,2069,9,1678,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2016-53,1102,9,7351,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2016-53,1104,9,7351,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2016-96,1400,9,1178000,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-70,428,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-70,429,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-70,426,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-70,424,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-70,425,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-70,428,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-70,429,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-70,426,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-70,424,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-70,425,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-70,428,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-70,429,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-70,426,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-70,424,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-70,425,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-70,428,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2012-70,429,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2012-70,426,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2012-70,424,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2012-70,425,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2012-70,428,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2012-70,429,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2012-70,426,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2012-70,424,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2012-70,425,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2012-70,428,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-70,429,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-70,426,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-70,424,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-70,425,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-70,428,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2012-70,429,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2012-70,426,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2012-70,424,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2012-70,425,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2012-70,428,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2012-70,429,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2012-70,426,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2012-70,424,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2012-70,425,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2012-70,428,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2016,A2012-70,429,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2016,A2012-70,426,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2016,A2012-70,424,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2016,A2012-70,425,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2017,A2012-70,428,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2012-70,429,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2012-70,426,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2012-70,424,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2012-70,425,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2012-70,428,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2012-70,429,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2012-70,426,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2012-70,424,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2012-70,425,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2012-70,428,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2012-70,429,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2012-70,426,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2012-70,424,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2012-70,425,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2012-70,428,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2012-70,429,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2012-70,424,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2012-70,425,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2012-70,428,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2012-70,429,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2012-70,426,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2012-70,424,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2012-70,425,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2012-70,428,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2012-70,429,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2012-70,426,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2012-70,424,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2012-70,425,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2012-70,428,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2012-70,429,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2012-70,426,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2012-70,424,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2012-70,425,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2012-70,428,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2012-70,429,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2012-70,426,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2012-70,424,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2012-70,425,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2012-70,428,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2012-70,429,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2012-70,426,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2012-70,424,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2012-70,425,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-71,422,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-71,422,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-71,422,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-71,422,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2012-71,422,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2012-71,422,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-71,422,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2012-71,422,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2012-71,422,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2017,A2012-71,422,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2012-71,422,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2012-71,422,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2012-71,422,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2012-71,422,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2012-71,422,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2012-71,422,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2012-71,422,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2012-71,422,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-72,357,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-72,355,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-72,358,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-72,354,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-72,356,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-72,357,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-72,355,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-72,358,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-72,354,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-72,356,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-72,357,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-72,355,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-72,358,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-72,354,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-72,356,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-72,357,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2012-72,355,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2012-72,358,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2012-72,354,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2012-72,356,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2012-72,357,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2012-72,355,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2012-72,358,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2012-72,354,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2012-72,356,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2012-72,357,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-72,355,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-72,358,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-72,354,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-72,356,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-72,357,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2012-72,355,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2012-72,358,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2012-72,354,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2012-72,356,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2012-72,357,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2012-72,355,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2012-72,358,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2012-72,354,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2012-72,356,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2012-72,357,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2016,A2012-72,355,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2016,A2012-72,358,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2016,A2012-72,354,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2016,A2012-72,356,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2017,A2012-72,357,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2012-72,355,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2012-72,358,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2012-72,354,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2012-72,356,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2012-72,357,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2012-72,355,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2012-72,358,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2012-72,354,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2012-72,356,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2012-72,357,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2012-72,355,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2012-72,358,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2012-72,354,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2012-72,356,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2012-72,357,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2012-72,355,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2012-72,358,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2012-72,354,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2012-72,356,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2012-72,357,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2012-72,355,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2012-72,358,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2012-72,354,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2012-72,356,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2012-72,357,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2012-72,355,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2012-72,358,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2012-72,354,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2012-72,356,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2012-72,357,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2012-72,355,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2012-72,358,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2012-72,354,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2012-72,356,7,0,1,1,1,,,,,07/01,07/31
AKDNR,2017,A2012-72,357,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2012-72,355,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2012-72,358,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2012-72,354,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2012-72,356,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2012-72,357,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2012-72,355,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2012-72,358,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2012-72,354,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2012-72,356,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-73,328,4,0,1,2,1,,,,,04/01,04/30
