ORGANIZATION_ID,REPORT_ID,ALLOCATION_ID,DETAIL_SEQ_NO,BENEFICIAL_USE_ID
AKDNR,2016,A2013-206,386,5
AKDNR,2017,A2013-206,382,5
AKDNR,2017,A2013-206,383,5
AKDNR,2017,A2013-206,384,5
AKDNR,2017,A2013-206,385,5
AKDNR,2017,A2013-206,386,5
AKDNR,2016,A2013-207,388,5
AKDNR,2016,A2013-207,389,5
AKDNR,2016,A2013-207,390,5
AKDNR,2017,A2013-207,388,5
AKDNR,2017,A2013-207,389,5
AKDNR,2017,A2013-207,390,5
AKDNR,2016,A2013-208,392,5
AKDNR,2016,A2013-208,393,5
AKDNR,2016,A2013-208,394,5
AKDNR,2016,A2013-208,395,5
AKDNR,2017,A2013-208,392,5
AKDNR,2017,A2013-208,393,5
AKDNR,2017,A2013-208,394,5
AKDNR,2017,A2013-208,395,5
AKDNR,2016,A2013-209,397,5
AKDNR,2017,A2013-209,397,5
AKDNR,2016,A2013-210,399,5
AKDNR,2017,A2013-210,399,5
AKDNR,2016,A2014-102,401,7
AKDNR,2017,A2014-102,401,7
AKDNR,2016,A2014-143,403,5
AKDNR,2016,A2014-143,404,5
AKDNR,2016,A2014-143,405,5
AKDNR,2017,A2014-143,403,5
AKDNR,2017,A2014-143,404,5
AKDNR,2017,A2014-143,405,5
AKDNR,2018,A2014-143,404,5
AKDNR,2017,A2015-116,2304,9
AKDNR,2016,A2016-53,1102,9
AKDNR,2016,A2016-53,1104,9
AKDNR,2016,A2016-53,2069,9
AKDNR,2016,A2016-96,1400,1
