ORGANIZATION_ID,REPORT_ID,ALLOCATION_ID,DETAIL_SEQ_NO,AMOUNT_VOLUME,UNIT_VOLUME,AMOUNT_RATE,UNIT_RATE,SOURCE_TYPE,FRESH_SALINE_IND,ALLOCATION_START,ALLOCATION_END,SOURCE_NAME
AKDNR,2016,A2012-75,338,16299996,1,,,2,1,01/01,12/31,#10-04
AKDNR,2016,A2012-75,339,16299996,1,,,2,1,01/01,12/31,#10-03
AKDNR,2016,A2012-75,340,16299996,1,,,2,1,01/01,12/31,#10-05
AKDNR,2017,A2012-75,336,16299996,1,,,2,1,01/01,12/31,#10-01
AKDNR,2017,A2012-75,337,16299996,1,,,2,1,01/01,12/31,#10-02
AKDNR,2017,A2012-75,338,16299996,1,,,2,1,01/01,12/31,#10-04
AKDNR,2017,A2012-75,339,16299996,1,,,2,1,01/01,12/31,#10-03
AKDNR,2017,A2012-75,340,16299996,1,,,2,1,01/01,12/31,#10-05
AKDNR,2016,A2012-76,342,27770004,1,,,2,1,01/01,12/31,#17
AKDNR,2016,A2012-76,343,27770004,1,,,2,1,01/01,12/31,#1
AKDNR,2016,A2012-76,344,27770004,1,,,2,1,01/01,12/31,#2
AKDNR,2016,A2012-76,345,27770004,1,,,2,1,01/01,12/31,#3
AKDNR,2016,A2012-76,346,27770004,1,,,2,1,01/01,12/31,#4 E/W
AKDNR,2017,A2012-76,342,27770004,1,,,2,1,01/01,12/31,#17
AKDNR,2017,A2012-76,343,27770004,1,,,2,1,01/01,12/31,#1
AKDNR,2017,A2012-76,344,27770004,1,,,2,1,01/01,12/31,#2
AKDNR,2017,A2012-76,345,27770004,1,,,2,1,01/01,12/31,#3
AKDNR,2017,A2012-76,346,27770004,1,,,2,1,01/01,12/31,#4 E/W
AKDNR,2016,A2012-77,360,150080004,1,,,2,1,01/01,12/31,#20
AKDNR,2016,A2012-77,361,150080004,1,,,2,1,01/01,12/31,#18
AKDNR,2016,A2012-77,362,150080004,1,,,2,1,01/01,12/31,#19
AKDNR,2016,A2012-77,363,150080004,1,,,2,1,01/01,12/31,Shaviovik Pit
AKDNR,2016,A2012-77,364,150080004,1,,,2,1,01/01,12/31,Alaska State C-1 Pit 
AKDNR,2016,A2012-78,348,1778349996,1,,,2,1,01/01,12/31,#15
AKDNR,2016,A2012-78,349,1778349996,1,,,2,1,01/01,12/31,#16
AKDNR,2016,A2012-78,350,1778349996,1,,,2,1,01/01,12/31,Duck Is. Mine Site
AKDNR,2016,A2012-78,351,1778349996,1,,,2,1,01/01,12/31,Sag Mine Site C (Vern Lake)
AKDNR,2016,A2012-78,352,1778349996,1,,,2,1,01/01,12/31,Badami Mine Site
AKDNR,2017,A2012-78,348,1778349996,1,,,2,1,01/01,12/31,#15
AKDNR,2017,A2012-78,349,1778349996,1,,,2,1,01/01,12/31,#16
AKDNR,2017,A2012-78,350,1778349996,1,,,2,1,01/01,12/31,Duck Is. Mine Site
AKDNR,2017,A2012-78,351,1778349996,1,,,2,1,01/01,12/31,Sag Mine Site C (Vern Lake)
AKDNR,2017,A2012-78,352,1778349996,1,,,2,1,01/01,12/31,Badami Mine Site
AKDNR,2016,A2012-79,366,33699996,1,,,2,3,01/01,12/31,Offshore Portion of Sag River
AKDNR,2017,A2012-79,366,33699996,1,,,2,3,01/01,12/31,Offshore Portion of Sag River
AKDNR,2016,A2012-82,368,58419996,1,,,2,1,01/01,12/31,Unnamed Lake 22
AKDNR,2016,A2012-82,369,58419996,1,,,2,1,01/01,12/31,Unnamed Lake 13
AKDNR,2016,A2012-82,370,58419996,1,,,2,1,01/01,12/31,Unnamed Lake 14
AKDNR,2016,A2012-82,371,58419996,1,,,2,1,01/01,12/31,Unnamed Lake 15
AKDNR,2016,A2012-82,372,58419996,1,,,2,1,01/01,12/31,Unnamed Lake 18
AKDNR,2017,A2012-82,368,58419996,1,,,2,1,01/01,12/31,Unnamed Lake 22
AKDNR,2017,A2012-82,369,58419996,1,,,2,1,01/01,12/31,Unnamed Lake 13
AKDNR,2017,A2012-82,370,58419996,1,,,2,1,01/01,12/31,Unnamed Lake 14
AKDNR,2017,A2012-82,371,58419996,1,,,2,1,01/01,12/31,Unnamed Lake 15
AKDNR,2017,A2012-82,372,58419996,1,,,2,1,01/01,12/31,Unnamed Lake 18
AKDNR,2016,A2012-83,374,15969996,1,,,2,1,01/01,12/31,Unnamed Lake 20
AKDNR,2016,A2012-83,375,15969996,1,,,2,1,01/01,12/31,Unnamed Lake 21
AKDNR,2016,A2012-83,376,15969996,1,,,2,1,01/01,12/31,Unnamed Lake 10
AKDNR,2016,A2012-83,377,15969996,1,,,2,1,01/01,12/31,Unnamed Lake 12
AKDNR,2016,A2012-83,378,15969996,1,,,2,1,01/01,12/31,Unnamed Lake
AKDNR,2017,A2012-83,374,15969996,1,,,2,1,01/01,12/31,Unnamed Lake 20
AKDNR,2017,A2012-83,375,15969996,1,,,2,1,01/01,12/31,Unnamed Lake 21
AKDNR,2017,A2012-83,376,15969996,1,,,2,1,01/01,12/31,Unnamed Lake 10
AKDNR,2017,A2012-83,377,15969996,1,,,2,1,01/01,12/31,Unnamed Lake 12
AKDNR,2017,A2012-83,378,15969996,1,,,2,1,01/01,12/31,Unnamed Lake
AKDNR,2016,A2012-94,380,136710000,1,,,2,1,01/01,12/31,Coleen Lake
AKDNR,2017,A2012-94,380,136710000,1,,,2,1,01/01,12/31,Coleen Lake
AKDNR,2017,A2013-160,2282,94900968,1,,,1,1,01/01,12/31,TW-8
AKDNR,2016,A2013-205,409,18420000,1,,,2,1,01/01,12/31,LO 2013-29-02
AKDNR,2016,A2013-205,410,18420000,1,,,2,1,01/01,12/31,LO 2013-33-00
AKDNR,2016,A2013-205,411,18420000,1,,,2,1,01/01,12/31,LO 2013-33-01
AKDNR,2016,A2013-205,412,18420000,1,,,2,1,01/01,12/31,LO 2013-34-01
AKDNR,2016,A2013-205,413,18420000,1,,,2,1,01/01,12/31,LO 2013-38-00
AKDNR,2017,A2013-205,409,18420000,1,,,2,1,01/01,12/31,LO 2013-29-02
AKDNR,2017,A2013-205,410,18420000,1,,,2,1,01/01,12/31,LO 2013-33-00
AKDNR,2017,A2013-205,411,18420000,1,,,2,1,01/01,12/31,LO 2013-33-01
AKDNR,2017,A2013-205,412,18420000,1,,,2,1,01/01,12/31,LO 2013-34-01
AKDNR,2017,A2013-205,413,18420000,1,,,2,1,01/01,12/31,LO 2013-38-00
AKDNR,2016,A2013-206,382,9699996,1,,,2,1,01/01,12/31,LO 2013-18-00
AKDNR,2016,A2013-206,383,9699996,1,,,2,1,01/01,12/31,LO 2013-20-00
AKDNR,2016,A2013-206,384,9699996,1,,,2,1,01/01,12/31,LO 2013-22-00
AKDNR,2016,A2013-206,385,9699996,1,,,2,1,01/01,12/31,LO 2013-23-00
AKDNR,2016,A2013-206,386,9699996,1,,,2,1,01/01,12/31,LO 2013-25-00
AKDNR,2017,A2013-206,382,9699996,1,,,2,1,01/01,12/31,LO 2013-18-00
AKDNR,2017,A2013-206,383,9699996,1,,,2,1,01/01,12/31,LO 2013-20-00
AKDNR,2017,A2013-206,384,9699996,1,,,2,1,01/01,12/31,LO 2013-22-00
AKDNR,2017,A2013-206,385,9699996,1,,,2,1,01/01,12/31,LO 2013-23-00
AKDNR,2017,A2013-206,386,9699996,1,,,2,1,01/01,12/31,LO 2013-25-00
AKDNR,2016,A2013-207,388,13700004,1,,,2,1,01/01,12/31,LO 2013-25-01
AKDNR,2016,A2013-207,389,13700004,1,,,2,1,01/01,12/31,LO 2013-26-00
AKDNR,2016,A2013-207,390,13700004,1,,,2,1,01/01,12/31,LO 2013-28-00
AKDNR,2017,A2013-207,388,13700004,1,,,2,1,01/01,12/31,LO 2013-25-01
AKDNR,2017,A2013-207,389,13700004,1,,,2,1,01/01,12/31,LO 2013-26-00
AKDNR,2017,A2013-207,390,13700004,1,,,2,1,01/01,12/31,LO 2013-28-00
AKDNR,2016,A2013-208,392,2840004,1,,,2,1,01/01,12/31,LO 2013-01-00
AKDNR,2016,A2013-208,393,2840004,1,,,2,1,01/01,12/31,LO 2013-26-01
AKDNR,2016,A2013-208,394,2840004,1,,,2,1,01/01,12/31,LO 2013-31-00
AKDNR,2016,A2013-208,395,2840004,1,,,2,1,01/01,12/31,LO 2013-32-00
AKDNR,2017,A2013-208,392,2840004,1,,,2,1,01/01,12/31,LO 2013-01-00
AKDNR,2017,A2013-208,393,2840004,1,,,2,1,01/01,12/31,LO 2013-26-01
AKDNR,2017,A2013-208,394,2840004,1,,,2,1,01/01,12/31,LO 2013-31-00
AKDNR,2017,A2013-208,395,2840004,1,,,2,1,01/01,12/31,LO 2013-32-00
AKDNR,2016,A2013-209,397,1400004,1,,,2,1,01/01,12/31,LO 2013-35-00
AKDNR,2017,A2013-209,397,1400004,1,,,2,1,01/01,12/31,LO 2013-35-00
AKDNR,2016,A2013-210,399,999996,1,,,2,1,01/01,12/31,LO 2013-19-01
AKDNR,2017,A2013-210,399,999996,1,,,2,1,01/01,12/31,LO 2013-19-01
AKDNR,2016,A2014-102,401,16100004,1,,,2,1,01/01,12/31,PTP Minesite
AKDNR,2017,A2014-102,401,16100004,1,,,2,1,01/01,12/31,PTP Minesite
AKDNR,2016,A2014-143,403,6440004,1,,,2,1,01/01,12/31,Drummer Lake
AKDNR,2016,A2014-143,404,6440004,1,,,2,1,01/01,12/31, Fox Lake
AKDNR,2016,A2014-143,405,6440004,1,,,2,1,01/01,12/31,Agviq Lake
AKDNR,2017,A2014-143,403,6440004,1,,,2,1,01/01,12/31,Drummer Lake
AKDNR,2017,A2014-143,404,6440004,1,,,2,1,01/01,12/31, Fox Lake
AKDNR,2017,A2014-143,405,6440004,1,,,2,1,01/01,12/31,Agviq Lake
AKDNR,2018,A2014-143,404,6440004,1,,,2,1,01/01,12/31, Fox Lake
AKDNR,2017,A2015-116,2304,220998960,1,,,1,1,01/01,12/31,TW-7
AKDNR,2016,A2016-53,1102,10500000,1,,,1,1,01/01,12/31,Wells 1 
AKDNR,2016,A2016-53,1104,10500000,1,,,1,1,01/01,12/31,Well 2
AKDNR,2016,A2016-53,2069,10500000,1,,,1,1,01/01,12/31,Well #3
AKDNR,2016,A2016-96,1400,2000004,,,,2,1,01/01,12/31,Kokolik River
